"","id","catholic","race_white","race_black","race_hispanic","race_asian","places_lived","m_age","f_age","f_ed","m_ed","m_prestige","f_prestige","fam_income","poverty","fstamp","math_score"
"165","0022012C",0,1,0,0,0,1,30,30,1,1,34.95,39.18,37500.5,0,0,40.054
"166","0022013C",0,1,0,0,0,1,37,44,0,0,38.18,53.5,62500.5,0,0,57.386
"167","0022014C",0,1,0,0,0,NA,34,35,0,1,38.18,59,37500.5,0,0,50.929
"168","0022016C",0,1,0,0,0,1,40,39,0,1,63.43,39.18,150000.5,0,0,36.914
"169","0022017C",0,1,0,0,0,2,32,35,1,1,53.5,39.18,87500.5,0,0,44.647
"170","0022018C",0,1,0,0,0,1,38,42,0,0,38.18,37.67,22500.5,1,1,60.34
"171","0022019C",0,1,0,0,0,1,39,NA,NA,0,72.1,NA,32500.5,0,0,54.939
"172","0022020C",0,1,0,0,0,1,29,30,1,1,34.95,29.6,27500.5,0,0,32.76
"173","0022023C",0,1,0,0,0,1,40,NA,NA,1,57.83,NA,12500.5,1,0,59.553
"174","0022024C",0,1,0,0,0,1,46,48,0,0,77.5,64.89,150000.5,0,0,55.206
"175","0023001C",0,1,0,0,0,1,34,37,1,1,39.2,39.2,27500.5,0,0,55.026
"176","0023002C",0,1,0,0,0,1,NA,40,1,NA,NA,39.2,32500.5,0,0,40.834
"177","0023003C",0,1,0,0,0,1,41,41,0,0,35.78,35.78,87500.5,0,0,55.98
"178","0023005C",0,1,0,0,0,1,NA,37,0,NA,NA,34.95,37500.5,0,0,50.174
"179","0023006C",0,1,0,0,0,1,36,37,1,1,38.18,39.18,37500.5,0,0,34.321
"180","0023007C",0,1,0,0,0,1,34,38,1,1,35.78,38.18,62500.5,0,0,47.631
"181","0023010C",0,1,0,0,0,1,35,50,0,0,63.43,34.95,37500.5,0,0,45.424
"182","0023011C",0,1,0,0,0,3,33,33,1,0,34.95,39.2,37500.5,0,0,52.562
"183","0023012C",0,1,0,0,0,1,41,46,0,1,38.18,64.89,62500.5,0,0,56.549
"184","0023013C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.115
"185","0023015C",0,1,0,0,0,1,39,37,1,0,53.5,35.92,62500.5,0,0,64.18
"186","0023016C",0,1,0,0,0,1,41,39,0,0,59,34.95,87500.5,0,0,58.489
"187","0023017C",0,1,0,0,0,1,33,NA,NA,0,61.56,NA,27500.5,0,0,62.526
"188","0023018C",0,1,0,0,0,1,43,NA,NA,0,53.5,NA,37500.5,0,0,66.029
"189","0023019C",0,1,0,0,0,1,34,38,1,1,NA,35.63,12500.5,1,1,53.478
"190","0023020C",0,1,0,0,0,1,37,40,0,0,38.18,34.95,45000.5,0,0,45.163
"191","0023021C",0,1,0,0,0,1,33,32,1,1,38.18,39.18,37500.5,0,0,47.773
"192","0023022C",0,1,0,0,0,1,39,NA,NA,0,38.18,NA,32500.5,0,0,55.631
"193","0023023C",0,1,0,0,0,1,NA,41,1,NA,NA,35.63,22500.5,0,0,52.007
"194","0023024C",0,1,0,0,0,1,36,NA,NA,1,35.78,NA,17500.5,0,1,28.757
"195","0023025C",0,1,0,0,0,1,NA,40,1,NA,NA,39.2,32500.5,0,0,43.65
"196","0024001C",0,1,0,0,0,1,47,NA,NA,0,61.56,NA,45000.5,0,0,54.484
"197","0024004C",0,1,0,0,0,1,50,47,0,0,72.1,63.43,150000.5,0,0,62.321
"198","0024011C",0,1,0,0,0,1,24,24,0,0,34.95,53.5,27500.5,0,0,49.671
"199","0025001C",0,0,0,1,0,1,38,41,0,0,53.5,72.1,150000.5,0,0,60.915
"200","0025003C",0,1,0,0,0,1,37,NA,NA,0,38.18,NA,22500.5,0,0,59.134
"201","0025005C",0,1,0,0,0,1,44,44,0,0,63.43,64.89,87500.5,0,0,56.559
"202","0025007C",0,1,0,0,0,1,29,38,1,1,NA,35.92,12500.5,1,0,36.392
"203","0025009C",0,0,0,0,0,3,30,34,0,0,NA,34.95,12500.5,1,1,44.441
"204","0025011C",0,1,0,0,0,3,36,37,1,1,NA,NA,7500.5,1,1,52.965
"205","0025014C",0,1,0,0,0,1,31,NA,NA,0,34.95,NA,12500.5,1,1,41.291
"206","0025016C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.077
"207","0025018C",0,1,0,0,0,1,34,34,0,1,53.5,38.18,45000.5,0,0,48.807
"208","0025020C",0,1,0,0,0,1,37,39,1,1,35.78,39.18,62500.5,0,0,36.482
"209","0025021C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.759
"210","0025022C",0,0,0,1,0,1,42,NA,NA,1,53.5,NA,7500.5,1,1,44.977
"211","0025023C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.058
"212","0025024C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.297
"213","0026001C",0,1,0,0,0,1,42,NA,NA,0,48.69,NA,45000.5,0,0,52.731
"214","0026002C",0,1,0,0,0,1,NA,44,0,NA,NA,64.89,37500.5,0,0,47.643
"215","0026005C",0,1,0,0,0,1,42,42,0,0,52.54,35.63,45000.5,0,0,74.248
"216","0026006C",0,1,0,0,0,1,27,29,1,1,NA,35.92,17500.5,1,0,53.845
"217","0026007C",0,1,0,0,0,1,50,57,0,0,NA,38.18,32500.5,0,0,43.467
"218","0026008C",0,1,0,0,0,1,46,41,0,0,38.18,53.5,87500.5,0,0,57.313
"219","0026010C",0,1,0,0,0,2,NA,52,0,NA,NA,53.5,62500.5,0,0,55.619
"220","0026011C",0,1,0,0,0,3,46,48,0,0,53.5,63.43,62500.5,0,0,59.292
"221","0026014C",0,1,0,0,0,1,37,41,0,0,38.18,39.2,45000.5,0,0,50.512
"222","0026015C",0,1,0,0,0,1,46,44,1,1,38.18,39.2,62500.5,0,0,46.613
"223","0028001C",1,0,0,0,0,1,35,37,0,0,61.56,53.5,62500.5,0,0,45.252
"224","0028002C",1,1,0,0,0,1,45,46,0,0,77.5,77.5,62500.5,0,0,58.224
"225","0028003C",1,1,0,0,0,1,38,38,0,0,38.18,39.2,62500.5,0,0,57.484
"226","0028004C",1,1,0,0,0,1,46,51,1,0,NA,33.42,62500.5,0,0,52.854
"227","0028005C",1,1,0,0,0,2,32,NA,NA,1,38.18,NA,45000.5,0,0,57.327
"228","0028006C",1,1,0,0,0,1,42,46,0,0,38.18,77.5,62500.5,0,0,47.66
"229","0028007C",1,1,0,0,0,1,41,41,0,0,61.56,61.56,87500.5,0,0,56.111
"230","0028008C",1,1,0,0,0,1,36,40,1,1,38.18,39.2,45000.5,0,0,44.09
"231","0028009C",1,1,0,0,0,1,38,45,0,0,63.43,64.89,87500.5,0,0,55.635
"232","0028010C",1,1,0,0,0,1,40,45,0,0,63.43,59,62500.5,0,0,63.876
"233","0028011C",1,1,0,0,0,1,40,42,1,1,53.5,38.18,45000.5,0,0,41.28
"234","0028012C",1,1,0,0,0,1,44,42,0,0,61.56,53.5,150000.5,0,0,59.532
"235","0028013C",1,1,0,0,0,1,48,45,0,0,NA,64.89,62500.5,0,0,56.14
"236","0028014C",1,1,0,0,0,1,33,41,1,1,38.18,39.2,62500.5,0,0,52.433
"237","0029002C",0,1,0,0,0,1,34,32,1,1,38.18,48.69,62500.5,0,0,40.093
"238","0029003C",0,1,0,0,0,1,32,39,0,1,34.95,53.5,45000.5,0,0,50.493
