"","id","catholic","race_white","race_black","race_hispanic","race_asian","places_lived","m_age","f_age","f_ed","m_ed","m_prestige","f_prestige","fam_income","poverty","fstamp","math_score"
"711","0081011C",0,1,0,0,0,1,43,39,0,0,53.5,53.5,200001,0,0,69.312
"712","0081015C",0,1,0,0,0,1,48,51,0,0,63.43,61.56,87500.5,0,0,42.323
"713","0081016C",0,1,0,0,0,1,44,47,0,0,NA,64.89,150000.5,0,0,61.347
"714","0081018C",0,0,0,0,0,1,44,37,0,0,53.5,62.87,150000.5,0,0,65.029
"715","0081019C",0,1,0,0,0,1,47,52,0,0,63.43,53.5,200001,0,0,45.248
"716","0081020C",0,1,0,0,0,1,43,41,0,0,63.43,35.78,87500.5,0,0,39.609
"717","0081022C",0,0,0,0,0,1,28,NA,NA,0,38.18,NA,150000.5,0,0,57.154
"718","0081023C",0,1,0,0,0,1,45,NA,NA,0,35.78,NA,87500.5,0,0,65.782
"719","0083001C",0,0,0,0,1,1,42,42,0,0,38.18,35.92,37500.5,0,0,38.913
"720","0083002C",0,0,1,0,0,1,37,56,0,0,34.95,53.5,87500.5,0,0,53.021
"721","0083004C",0,1,0,0,0,2,34,36,1,1,NA,39.2,62500.5,0,0,42.695
"722","0083005C",0,0,1,0,0,1,39,36,1,0,34.95,NA,87500.5,0,0,32.698
"723","0083006C",0,0,0,1,0,2,42,42,0,0,34.95,34.95,37500.5,0,0,49.053
"724","0083007C",0,1,0,0,0,1,38,36,1,1,38.18,53.5,87500.5,0,0,39.856
"725","0083008C",0,0,1,0,0,2,37,42,0,0,61.56,33.42,37500.5,1,0,32.961
"726","0083009C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33
"727","0083010C",0,0,0,1,0,1,46,41,0,1,NA,NA,62500.5,0,0,51.611
"728","0083012C",0,0,0,1,0,1,38,36,1,1,33.42,33.42,45000.5,0,0,35.664
"729","0083014C",0,0,0,1,0,1,46,32,1,1,33.42,33.42,22500.5,1,0,51.534
"730","0083016C",0,0,0,1,0,1,51,49,1,0,29.6,38.18,62500.5,0,0,40.698
"731","0083017C",0,0,1,0,0,1,28,28,1,1,34.95,35.92,27500.5,1,1,35.224
"732","0083018C",1,0,0,1,0,1,31,35,1,1,33.42,29.6,45000.5,0,0,34.705
"733","0083019C",0,0,0,1,0,NA,49,52,0,0,34.95,39.18,37500.5,0,0,40.826
"734","0083021C",0,0,0,1,0,1,37,NA,NA,0,38.18,NA,27500.5,0,0,40.886
"735","0083024C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.989
"736","0084002C",0,0,0,0,1,1,31,38,1,1,35.78,39.2,22500.5,1,0,32.813
"737","0084003C",0,1,0,0,0,1,46,49,0,0,NA,53.5,150000.5,0,0,38.896
"738","0084006C",0,0,0,1,0,1,43,40,1,0,38.18,35.63,32500.5,0,0,44.595
"739","0084007C",0,1,0,0,0,1,38,38,0,0,NA,38.18,62500.5,0,0,44.935
"740","0084009C",0,1,0,0,0,1,39,40,1,0,NA,53.5,150000.5,0,0,42.841
"741","0084010C",0,1,0,0,0,1,39,39,0,0,NA,35.78,62500.5,0,0,49.331
"742","0084012C",0,1,0,0,0,1,36,39,1,1,NA,48.69,87500.5,0,0,52.358
"743","0084013C",0,0,0,1,0,2,40,NA,NA,0,63.43,NA,87500.5,0,0,40.475
"744","0084015C",0,1,0,0,0,1,42,46,0,1,NA,53.5,87500.5,0,0,48.87
"745","0084016C",0,1,0,0,0,1,40,43,0,0,62.87,59,87500.5,0,0,51.05
"746","0084017C",0,1,0,0,0,1,39,39,0,0,NA,39.2,87500.5,0,0,56.476
"747","0084018C",0,1,0,0,0,1,47,43,0,0,53.5,53.5,150000.5,0,0,46.859
"748","0084019C",0,1,0,0,0,1,41,46,0,0,NA,52.54,150000.5,0,0,58.143
"749","0084020C",0,0,0,1,0,1,39,43,0,0,34.95,53.5,62500.5,0,0,54.571
"750","0084023C",0,1,0,0,0,1,48,46,0,0,53.5,62.87,150000.5,0,0,53.055
"751","0085001C",1,1,0,0,0,1,41,44,0,0,35.78,39.2,27500.5,0,0,49.341
"752","0085002C",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.569
"753","0085003C",1,1,0,0,0,1,35,36,1,0,NA,53.5,62500.5,0,0,68.398
"754","0085004C",1,1,0,0,0,1,38,39,0,0,61.56,35.92,62500.5,0,0,52.642
"755","0085005C",1,1,0,0,0,1,39,39,0,0,34.95,53.5,150000.5,0,0,48.657
"756","0085006C",1,1,0,0,0,1,44,34,1,1,38.18,34.95,62500.5,0,0,35.858
"757","0085007C",1,1,0,0,0,1,38,39,0,0,53.5,NA,200001,0,0,52.421
"758","0085008C",1,1,0,0,0,1,44,44,0,0,34.95,35.78,87500.5,0,0,62.048
"759","0085010C",1,1,0,0,0,1,39,39,0,0,63.43,35.78,150000.5,0,0,46.944
"760","0085012C",1,1,0,0,0,1,38,45,0,0,63.43,63.43,150000.5,0,0,58.256
"761","0085013C",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.345
"762","0085015C",1,1,0,0,0,1,42,51,1,0,NA,29.6,32500.5,0,0,61.829
"763","0085016C",1,1,0,0,0,1,38,39,0,0,53.5,35.78,150000.5,0,0,52.635
"764","0085017C",1,1,0,0,0,1,45,46,0,0,53.5,39.2,150000.5,0,0,62.447
"765","0085018C",1,1,0,0,0,1,45,48,0,0,62.87,53.5,200001,0,0,60.94
"766","0085019C",1,1,0,0,0,1,39,41,0,0,53.5,53.5,87500.5,0,0,51.104
"767","0085020C",1,1,0,0,0,1,42,46,0,1,38.18,33.42,62500.5,0,0,45.96
"768","0085021C",1,1,0,0,0,1,43,44,0,0,NA,34.95,87500.5,0,0,57.803
"769","0085022C",1,1,0,0,0,1,40,39,0,0,61.56,35.78,87500.5,0,0,60.386
"770","0085023C",1,1,0,0,0,2,34,35,0,0,NA,34.95,87500.5,0,0,43.846
"771","0085024C",1,1,0,0,0,1,44,43,0,0,38.18,48.69,87500.5,0,0,60.479
"772","0086003C",0,0,0,0,1,2,38,41,0,0,NA,35.78,62500.5,0,0,68.117
"773","0089003C",0,1,0,0,0,1,42,42,1,1,38.18,38.18,62500.5,0,0,57.984
"774","0089004C",0,1,0,0,0,1,48,48,1,0,34.95,39.2,150000.5,0,0,51.895
"775","0089006C",0,1,0,0,0,1,38,39,0,0,53.5,53.5,87500.5,0,0,57.582
"776","0089007C",0,1,0,0,0,1,42,NA,NA,1,38.18,NA,37500.5,0,0,60.481
"777","0089008C",0,1,0,0,0,1,48,47,0,0,63.43,53.5,87500.5,0,0,43.732
"778","0089009C",0,0,0,1,0,1,33,42,1,1,34.95,39.2,17500.5,1,0,38.785
"779","0089010C",0,1,0,0,0,1,48,56,0,0,38.18,NA,87500.5,0,0,57.386
"780","0089011C",0,1,0,0,0,1,42,42,0,0,38.18,48.69,150000.5,0,0,54.792
"781","0089012C",0,1,0,0,0,1,42,46,0,0,61.56,35.78,150000.5,0,0,57.605
"782","0089013C",0,1,0,0,0,1,38,42,0,1,38.18,33.42,87500.5,0,0,44.449
"783","0089015C",0,1,0,0,0,1,48,47,0,0,63.43,34.95,150000.5,0,0,60.757
"784","0089016C",0,1,0,0,0,2,NA,44,0,NA,NA,35.78,87500.5,0,0,53.228
"785","0089017C",0,1,0,0,0,1,43,NA,NA,1,35.78,NA,32500.5,0,0,49.327
"786","0089018C",0,1,0,0,0,2,38,NA,NA,0,64.89,NA,62500.5,0,0,62.722
"787","0089019C",0,1,0,0,0,1,NA,45,0,NA,NA,29.6,45000.5,0,0,52.189
"788","0089021C",0,1,0,0,0,1,32,34,0,0,38.18,63.43,200001,0,0,43.64
"789","0091018C",0,0,1,0,0,NA,46,39,0,0,53.5,48.69,150000.5,0,0,56.537
"790","0093003C",0,1,0,0,0,1,38,46,0,0,NA,53.5,200001,0,0,71.962
"791","0093004C",0,1,0,0,0,1,44,50,0,0,NA,53.5,87500.5,0,0,63.106
"792","0093005C",0,1,0,0,0,1,43,45,0,0,34.95,35.78,87500.5,0,0,39.824
"793","0093007C",0,1,0,0,0,1,40,40,1,0,38.18,35.78,150000.5,0,0,53.265
"794","0093009C",0,1,0,0,0,1,42,43,0,0,NA,53.5,200001,0,0,45.367
"795","0093010C",0,1,0,0,0,1,33,38,1,0,34.95,35.78,87500.5,0,0,47.827
"796","0093011C",0,1,0,0,0,1,40,40,0,0,53.5,35.78,150000.5,0,0,50.958
"797","0093012C",0,1,0,0,0,1,44,44,0,0,NA,53.5,200001,0,0,63.448
"798","0093013C",0,1,0,0,0,1,39,43,0,1,38.18,35.92,62500.5,0,0,51.521
"799","0093016C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.659
"800","0093017C",0,1,0,0,0,1,37,40,0,0,NA,59,150000.5,0,0,55.427
"801","0093018C",0,1,0,0,0,1,42,40,1,0,61.56,39.18,87500.5,0,0,65.403
"802","0093019C",0,0,0,0,0,1,36,36,0,0,NA,39.18,87500.5,0,0,48.597
"803","0093020C",0,1,0,0,0,1,34,41,1,1,NA,39.2,62500.5,0,0,54.586
"804","0093021C",0,1,0,0,0,2,42,44,0,0,53.5,53.5,200001,0,0,43.264
"805","0093023C",0,1,0,0,0,1,38,38,1,0,63.43,39.18,87500.5,0,0,43.857
"806","0093024C",0,1,0,0,0,1,42,45,1,0,48.69,35.78,150000.5,0,0,43.31
"807","0095003C",0,0,1,0,0,1,38,NA,NA,0,57.83,NA,87500.5,0,0,61.844
"808","0095004C",0,1,0,0,0,1,39,39,0,0,38.18,64.89,87500.5,0,0,49.514
"809","0095005C",0,1,0,0,0,1,42,52,0,0,63.43,34.95,87500.5,0,0,56.545
"810","0095007C",0,1,0,0,0,1,45,46,1,1,35.92,35.78,62500.5,0,0,46.892
"811","0095008C",0,0,1,0,0,1,32,NA,NA,0,61.56,NA,45000.5,0,0,37.698
"812","0095010C",0,0,0,1,0,1,39,40,0,0,63.43,34.95,150000.5,0,0,60.882
"813","0095012C",0,1,0,0,0,1,44,44,0,1,NA,53.5,62500.5,0,0,56.453
"814","0095013C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.69
"815","0095015C",0,1,0,0,0,1,35,35,0,0,38.18,39.18,62500.5,0,0,60.29
"816","0095016C",0,0,1,0,0,1,40,NA,NA,1,63.43,NA,22500.5,0,0,54.594
"817","0095017C",0,1,0,0,0,1,43,49,1,0,48.69,33.42,62500.5,0,0,39.626
"818","0095018C",0,0,0,1,0,1,46,44,0,1,NA,62.87,62500.5,0,0,53.62
"819","0095020C",0,0,0,0,0,1,45,53,0,0,57.83,35.63,62500.5,0,0,52.195
"820","0095022C",0,0,0,1,0,1,42,42,0,0,35.78,39.2,45000.5,0,0,54.732
"821","0095023C",0,1,0,0,0,1,41,38,0,0,NA,53.5,150000.5,0,0,53.138
"822","0098001C",0,0,1,0,0,1,37,NA,NA,0,35.78,NA,17500.5,1,1,49.074
"823","0098002C",0,0,1,0,0,1,44,NA,NA,1,34.95,NA,17500.5,1,1,38.362
"824","0098003C",0,0,1,0,0,1,37,37,0,0,38.18,34.95,12500.5,1,0,42.353
"825","0098004C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.431
"826","0098007C",0,0,1,0,0,2,29,NA,NA,0,33.42,NA,7500.5,1,1,33.897
"827","0098016C",0,0,1,0,0,1,60,NA,NA,1,38.18,NA,62500.5,0,0,31.922
"828","0098017C",0,0,1,0,0,1,39,44,0,0,48.69,33.42,62500.5,0,0,47.672
"829","0098018C",0,0,1,0,0,1,31,NA,NA,1,34.95,NA,7500.5,1,0,46.896
"830","0098019C",0,0,0,1,0,1,30,NA,NA,1,34.95,NA,7500.5,1,1,39.261
"831","0098024C",0,0,0,1,0,1,42,62,0,0,38.18,NA,17500.5,1,0,41.71
"832","0099004C",0,0,0,1,0,1,36,NA,NA,1,33.42,NA,17500.5,0,0,49.804
"833","0099008C",0,0,0,1,0,1,41,NA,NA,1,34.95,NA,12500.5,1,0,36.246
"834","0099018C",0,0,0,1,0,1,31,36,1,1,35.78,35.78,45000.5,0,0,46.957
"835","0101003C",0,0,0,0,1,1,33,37,0,0,NA,35.78,17500.5,0,0,53.789
"836","0101004C",0,0,0,0,1,1,40,NA,0,1,NA,48.69,200001,0,0,65.676
"837","0101005C",0,0,0,0,1,1,37,37,1,1,NA,39.18,62500.5,0,0,69.567
"838","0101006C",0,0,0,0,1,1,32,34,1,1,38.18,35.78,27500.5,0,0,47.18
"839","0101007C",0,0,0,0,1,1,30,45,0,1,37.67,38.18,32500.5,0,0,49.16
"840","0101010C",0,0,0,0,1,1,31,39,1,1,NA,35.78,37500.5,0,0,61.958
"841","0101011C",0,0,1,0,0,1,43,38,1,1,34.95,37.67,22500.5,0,1,36.297
"842","0101014C",0,0,0,1,0,1,28,31,1,0,53.5,38.18,45000.5,0,0,52.623
"843","0101016C",0,0,0,1,0,1,29,35,0,0,38.18,39.2,17500.5,1,0,66.016
"844","0101022C",0,0,0,1,0,1,40,NA,NA,1,34.95,NA,12500.5,1,1,54.363
"845","0101023C",0,0,0,1,0,1,32,NA,NA,1,NA,NA,17500.5,1,1,37.242
"846","0102024C",1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.362
"847","0103002C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.273
"848","0103005C",0,0,0,1,0,1,28,29,1,1,62.87,34.95,37500.5,0,0,31.778
"849","0103006C",0,0,0,1,0,1,40,41,0,0,34.95,39.2,32500.5,0,1,54.964
"850","0103007C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.931
"851","0103009C",0,0,1,0,0,1,33,NA,NA,1,37.67,NA,5000,1,1,40.93
"852","0103015C",0,0,0,1,0,1,31,NA,NA,1,NA,NA,7500.5,1,0,38.443
"853","0103016C",0,0,1,0,0,NA,31,NA,NA,0,34.95,NA,5000,1,NA,64.96
"854","0103018C",0,0,1,0,0,1,41,NA,NA,0,38.18,NA,45000.5,0,0,28.304
"855","0103019C",0,0,1,0,0,1,41,NA,NA,1,NA,NA,22500.5,1,1,31.926
"856","0103021C",0,0,1,0,0,1,27,NA,NA,1,38.18,NA,12500.5,1,0,53.067
"857","0104001C",1,0,0,0,1,1,39,38,1,1,35.78,38.18,22500.5,0,0,63.561
"858","0104002C",1,0,0,0,1,1,42,43,0,0,53.5,48.69,87500.5,0,0,60.598
"859","0104003C",1,0,0,1,0,1,NA,NA,0,0,38.18,64.89,87500.5,0,0,60.517
"860","0104006C",1,1,0,0,0,1,36,36,0,0,35.78,53.5,150000.5,0,0,60.709
"861","0104007C",1,0,0,0,0,1,46,46,1,1,53.5,35.92,27500.5,0,0,51.417
"862","0104008C",1,1,0,0,0,1,34,38,1,1,34.95,52.54,22500.5,0,0,42.795
"863","0104009C",1,0,0,1,0,1,28,NA,NA,0,38.18,NA,62500.5,0,0,35.681
"864","0104010C",1,1,0,0,0,1,31,NA,NA,1,48.69,NA,62500.5,0,0,50.635
"865","0104012C",1,1,0,0,0,1,47,47,1,0,NA,39.2,37500.5,0,0,57.279
"866","0104019C",1,0,0,1,0,1,NA,37,0,1,38.18,64.89,87500.5,0,0,48.369
"867","0104025C",1,0,0,1,0,1,38,48,1,1,NA,39.18,32500.5,0,0,53.107
"868","0104027C",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.76
"869","0105006C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.451
"870","0105014C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.116
"871","0105017C",0,0,0,1,0,1,35,NA,NA,1,34.95,NA,7500.5,1,1,25.822
"872","0110006C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.388
"873","0110007C",0,0,1,0,0,2,44,NA,NA,0,38.18,NA,17500.5,1,0,56.146
"874","0110011C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.693
"875","0110017C",0,0,1,0,0,1,33,45,0,0,61.56,61.56,87500.5,0,0,28.133
"876","0110020C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.986
"877","0110021C",0,0,1,0,0,2,28,28,1,0,38.18,35.78,22500.5,0,0,45.023
"878","0110024C",0,0,1,0,0,1,37,38,1,1,NA,53.5,62500.5,0,0,45.046
"879","0113003C",0,0,0,0,1,1,44,47,0,0,61.56,48.69,87500.5,0,0,51.891
"880","0114001C",1,0,0,1,0,1,40,30,1,0,34.95,35.78,27500.5,0,1,49.308
"881","0114002C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.948
"882","0114004C",0,0,0,1,0,1,37,35,1,1,NA,35.92,62500.5,0,0,50.791
"883","0114006C",0,0,1,0,0,1,43,NA,NA,0,NA,NA,17500.5,1,1,32.583
"884","0114007C",0,0,0,1,0,1,29,NA,NA,0,NA,NA,22500.5,1,0,57.016
"885","0114009C",0,0,0,1,0,1,28,NA,NA,1,38.18,NA,62500.5,0,0,49.529
"886","0114010C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.066
"887","0114011C",0,0,0,1,0,1,35,NA,NA,0,38.18,NA,22500.5,1,0,45.265
"888","0114014C",0,0,0,1,0,2,28,27,1,0,38.18,35.78,45000.5,0,1,51.323
"889","0114018C",1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.614
"890","0114019C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.812
"891","0114020C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.635
"892","0114021C",0,0,0,1,0,1,39,42,1,1,53.5,NA,17500.5,1,0,49.948
"893","0114022C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.653
"894","0114023C",0,0,0,1,0,1,37,35,1,1,NA,37.67,7500.5,1,1,34.002
"895","0115003C",0,0,1,0,0,1,39,NA,NA,0,35.78,NA,5000,1,1,52.395
"896","0115004C",0,0,1,0,0,1,30,NA,NA,1,34.95,NA,5000,1,1,51.384
"897","0115006C",0,0,0,1,0,1,34,NA,NA,1,NA,NA,5000,1,1,52.425
"898","0115007C",0,0,0,1,0,1,30,40,0,1,38.18,35.78,27500.5,0,0,44.914
"899","0115008C",0,0,0,1,0,1,27,33,1,1,NA,35.92,12500.5,1,1,48.572
"900","0115009C",0,0,0,1,0,1,39,56,1,0,35.78,39.2,7500.5,1,1,44.702
"901","0115010C",0,0,0,1,0,1,30,NA,NA,1,34.95,NA,12500.5,1,1,35.489
"902","0115012C",0,0,0,1,0,1,38,NA,NA,1,34.95,NA,17500.5,0,0,48.703
"903","0115016C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.024
"904","0115017C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.953
"905","0115018C",0,0,0,1,0,1,37,42,0,1,38.18,35.78,62500.5,0,0,51.784
"906","0115019C",0,0,1,0,0,1,58,NA,NA,1,NA,NA,7500.5,1,0,49.151
"907","0115020C",0,0,0,1,0,1,42,37,1,1,34.95,38.18,22500.5,0,0,55.521
"908","0115022C",0,0,1,0,0,1,30,32,0,0,38.18,63.43,45000.5,0,0,41.103
"909","0115023C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.187
"910","0115024C",0,0,1,0,0,1,61,NA,NA,0,NA,NA,17500.5,0,1,49.827
"911","0116001C",0,0,0,1,0,1,NA,NA,NA,0,72.1,NA,62500.5,0,0,56.559
"912","0116002C",0,1,0,0,0,1,42,44,0,0,35.78,53.5,200001,0,0,63.054
"913","0116004C",0,1,0,0,0,1,42,43,0,0,63.43,59,200001,0,0,65.885
"914","0116006C",0,1,0,0,0,1,42,42,0,0,59,59,200001,0,0,58.362
"915","0116007C",0,0,0,1,0,1,38,44,1,1,34.95,53.5,62500.5,0,0,57.085
"916","0116008C",0,1,0,0,0,1,48,48,0,0,53.5,53.5,150000.5,0,0,55.973
"917","0116009C",0,1,0,0,0,1,38,NA,NA,0,63.43,NA,7500.5,1,0,62.939
"918","0116013C",0,0,0,1,0,2,32,64,1,1,NA,NA,5000,1,1,49.754
"919","0116014C",0,1,0,0,0,1,36,46,0,1,NA,34.95,37500.5,0,0,49.414
"920","0116016C",0,1,0,0,0,1,35,39,1,1,38.18,39.2,27500.5,0,0,52.058
"921","0116017C",0,1,0,0,0,1,46,NA,NA,0,63.43,NA,27500.5,0,0,52.053
"922","0116018C",0,1,0,0,0,1,45,NA,NA,0,35.78,NA,62500.5,0,0,61.395
"923","0116019C",0,1,0,0,0,1,46,44,0,0,53.5,38.18,87500.5,0,0,64.537
"924","0116020C",0,1,0,0,0,1,NA,40,0,NA,NA,63.43,45000.5,0,0,55.942
"925","0116021C",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.913
"926","0116022C",0,1,0,0,0,1,39,42,0,0,59,59,150000.5,0,0,56.161
"927","0116024C",0,1,0,0,0,1,39,37,0,0,52.54,59,62500.5,0,0,50.551
"928","0117002C",0,0,0,0,1,1,40,46,0,1,NA,35.92,17500.5,1,0,50.305
"929","0117003C",0,0,0,1,0,2,34,31,1,1,NA,39.2,62500.5,0,0,38.568
"930","0117004C",0,0,0,1,0,1,42,43,1,0,62.87,53.5,87500.5,0,0,54.538
"931","0117005C",0,0,0,0,1,1,37,43,1,0,38.18,53.5,62500.5,0,0,57.148
"932","0117007C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.152
"933","0117008C",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.013
"934","0117012C",0,0,0,1,0,1,43,44,1,1,38.18,33.42,32500.5,0,0,36.632
"935","0117013C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.696
"936","0117014C",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.753
"937","0117017C",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.222
"938","0117020C",0,0,0,0,1,1,36,46,0,0,NA,53.5,37500.5,0,0,55.062
"939","0117021C",0,0,0,0,1,1,38,41,0,1,NA,34.95,45000.5,0,0,48.912
"940","0117022C",0,0,0,0,1,1,40,48,0,0,38.18,39.2,45000.5,0,0,47.553
"941","0118002C",0,0,0,1,0,2,28,35,1,1,NA,35.92,7500.5,1,1,37.014
"942","0118005C",0,0,0,1,0,1,31,29,1,1,NA,35.92,62500.5,0,0,35.335
"943","0118007C",0,0,0,1,0,1,33,NA,NA,0,38.18,NA,32500.5,0,0,59.096
"944","0118008C",0,0,0,1,0,1,42,48,1,1,29.6,NA,22500.5,1,0,57.58
"945","0118012C",0,0,0,0,0,1,41,50,1,0,38.18,35.78,12500.5,1,1,50.501
"946","0118013C",0,0,0,1,0,1,35,37,1,1,63.43,35.92,37500.5,0,0,56.829
"947","0118014C",0,0,0,0,1,1,40,40,1,0,38.18,39.18,62500.5,0,0,53.19
"948","0118015C",0,0,0,1,0,1,39,48,0,0,38.18,33.42,37500.5,0,0,46.748
"949","0118017C",0,0,0,0,1,1,34,39,1,1,NA,35.92,17500.5,1,0,58.629
"950","0118018C",0,0,0,0,1,1,44,47,0,0,35.78,33.42,22500.5,0,0,49.333
"951","0118020C",0,0,0,0,0,1,41,NA,NA,1,NA,NA,5000,1,1,44.389
"952","0118021C",0,0,0,1,0,1,35,39,1,0,48.69,NA,62500.5,0,0,41.091
"953","0118022C",0,0,0,0,1,1,49,48,1,1,NA,39.2,12500.5,1,0,41.497
"954","0118024C",0,0,0,0,1,2,38,42,1,1,38.18,33.42,45000.5,0,0,29.043
"955","0119003C",1,0,1,0,0,1,47,48,0,1,34.95,35.92,32500.5,0,0,45.469
"956","0119007C",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.906
"957","0119009C",1,0,1,0,0,1,34,39,0,0,34.95,53.5,87500.5,0,0,44.831
"958","0119010C",1,0,0,0,0,1,45,48,0,0,61.56,77.5,150000.5,0,0,35.095
"959","0119011C",1,0,1,0,0,1,36,NA,NA,0,34.95,NA,32500.5,0,0,39.641
"960","0119012C",1,0,0,0,1,1,39,NA,NA,0,34.95,NA,27500.5,0,0,27.574
"961","0119013C",1,0,0,1,0,1,25,32,1,0,63.43,34.95,62500.5,0,0,44.487
"962","0119014C",0,0,1,0,0,1,37,NA,NA,0,61.56,NA,62500.5,0,0,49.667
"963","0119016C",1,0,1,0,0,1,NA,NA,NA,0,61.56,NA,45000.5,0,0,48.002
"964","0119017C",1,0,0,0,1,2,36,46,0,0,34.95,34.95,17500.5,1,0,36.418
"965","0119021C",1,0,0,1,0,1,41,41,0,0,53.5,34.95,87500.5,0,0,50.587
"966","0119022C",1,0,1,0,0,1,44,46,0,0,NA,38.18,150000.5,0,0,53.946
"967","0120001C",1,0,1,0,0,1,34,37,0,0,52.54,53.5,62500.5,0,0,49.03
"968","0120004C",1,0,0,1,0,2,31,38,0,1,34.95,35.78,37500.5,0,0,42.889
"969","0120007C",1,0,0,1,0,2,49,NA,NA,0,38.18,NA,62500.5,0,0,49.371
"970","0120012C",1,0,0,1,0,1,37,42,0,0,35.78,35.92,45000.5,0,0,50.011
"971","0120014C",1,1,0,0,0,1,46,46,0,0,NA,NA,150000.5,0,0,43.807
"972","0120016C",1,0,0,1,0,1,40,37,1,0,38.18,34.95,87500.5,0,0,45.618
"973","0120017C",1,1,0,0,0,2,46,NA,NA,1,38.18,NA,45000.5,0,0,56.703
"974","0120020C",1,0,0,1,0,1,38,37,1,0,38.18,34.95,62500.5,0,0,43.615
"975","0120021C",0,1,0,0,0,1,42,42,1,0,NA,48.69,87500.5,0,0,58.74
"976","0120023C",1,0,0,1,0,1,38,36,0,1,NA,35.78,27500.5,0,0,55.191
"977","0120024C",1,1,0,0,0,1,41,47,1,0,38.18,35.92,62500.5,0,0,30.628
"978","0122002C",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.482
"979","0122005C",1,1,0,0,0,1,38,NA,NA,1,35.78,NA,45000.5,0,0,64.908
"980","0122007C",1,1,0,0,0,1,43,39,1,0,57.83,35.92,87500.5,0,0,51.937
"981","0122008C",1,1,0,0,0,1,39,40,0,0,63.43,39.18,87500.5,0,0,49.283
"982","0122009C",1,1,0,0,0,1,47,43,0,0,38.18,53.5,87500.5,0,0,50.933
"983","0122010C",1,0,0,0,0,1,40,40,1,0,59,34.95,150000.5,0,0,49.003
"984","0122014C",0,1,0,0,0,1,46,46,0,0,53.5,33.42,150000.5,0,0,49.969
"985","0122015C",1,1,0,0,0,1,37,43,1,0,38.18,34.95,45000.5,0,0,56.883
"986","0122016C",1,1,0,0,0,1,39,49,0,0,53.5,35.92,87500.5,0,0,57.448
"987","0122017C",1,1,0,0,0,1,44,45,0,1,34.95,53.5,150000.5,0,0,57.659
"988","0122022C",1,1,0,0,0,1,35,35,0,1,38.18,34.95,87500.5,0,0,48.524
"989","0122024C",1,1,0,0,0,1,51,60,0,1,34.95,53.5,62500.5,0,0,53.518
"990","0122025C",0,1,0,0,0,1,42,44,0,0,NA,53.5,87500.5,0,0,51.74
"991","0122026C",1,1,0,0,0,1,39,41,0,0,NA,53.5,87500.5,0,0,63.974
"992","0124003C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.821
"993","0124004C",0,0,1,0,0,1,32,NA,NA,1,34.95,NA,22500.5,1,1,44.42
